범죄대분류,범죄중분류,아파트_연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장_노점,숙박업소_목욕탕,유흥접객업소,사무실,공장,공사장_광산,창고,역_대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄,살인기수,92,57,1,43,0,0,0,0,0,0,19,5,5,3,2,0,0,0,7,0,1,0,0,10,0,2,1,0,0,0,2,0,1,19
강력범죄,살인미수등,116,67,1,87,0,3,3,0,3,1,11,28,11,2,3,0,1,0,1,0,1,1,0,9,1,2,0,0,0,0,7,1,0,28
강력범죄,강도,78,47,1,114,2,10,39,3,32,3,47,27,15,2,0,1,2,0,8,0,3,1,2,3,1,4,0,0,0,0,10,3,1,36
강력범죄,강간,1561,976,2,127,0,0,1,0,33,15,1692,158,41,2,1,5,1,0,136,2,17,16,0,15,8,8,0,1,0,1,20,43,4,377
강력범죄,유사강간,247,147,0,36,0,0,2,0,10,6,170,38,9,1,0,1,0,0,32,0,10,8,0,12,2,1,0,0,1,0,11,9,1,60
강력범죄,강제추행,1761,1096,16,2602,21,117,226,14,378,153,803,1865,608,64,11,10,321,604,904,93,191,251,10,376,31,30,2,12,7,2,98,66,31,1188
강력범죄,기타 강간_강제추행등,78,71,0,8,0,1,1,0,2,1,28,8,1,0,0,0,0,0,3,0,1,2,0,1,1,2,0,0,0,0,4,3,0,22
강력범죄,방화,279,246,0,153,0,1,1,0,19,18,40,28,31,17,6,12,3,1,2,0,20,7,1,12,8,15,5,0,0,0,36,9,0,76
절도범죄,절도범죄,16482,8535,99,46374,2142,9920,6143,3350,15031,3970,2666,7116,2282,972,1205,1179,1100,435,2840,364,1493,1026,2881,1139,440,3514,71,9,3,56,9891,727,1253,11701
폭력범죄,상해,4876,3014,50,9761,18,90,157,15,347,290,696,3378,1049,336,228,40,120,37,204,26,303,287,12,330,60,147,23,8,8,4,626,34,67,1812
폭력범죄,폭행,23656,12716,206,41284,77,526,1365,81,1506,1071,1903,9270,2946,657,565,92,796,376,3090,97,1089,516,72,1239,172,241,54,36,31,8,2850,160,294,6900
폭력범죄,체포_감금,259,141,6,209,0,1,5,1,14,2,103,51,59,4,3,0,3,0,139,0,3,3,1,28,5,5,0,0,0,0,13,0,4,103
폭력범죄,협박,5052,3338,90,6111,9,54,208,10,281,154,195,1134,693,68,52,9,30,6,117,17,101,90,17,133,32,75,10,1,9,3,265,5,25,2664
폭력범죄,약취_유인,50,17,0,112,0,1,1,0,0,1,10,1,4,0,0,0,0,1,3,0,2,7,2,1,2,0,0,0,0,0,3,1,0,21
폭력범죄,폭력행위등,648,351,3,2869,4,12,35,1,62,87,199,644,201,53,55,6,20,4,36,7,122,145,5,43,38,38,3,5,1,1,199,28,20,539
폭력범죄,공갈,356,317,4,554,0,6,32,7,57,31,43,129,259,9,14,3,5,1,30,1,24,42,18,22,7,4,1,6,2,1,17,1,26,3102
폭력범죄,손괴,8144,4452,20,20560,17,118,268,31,875,756,2157,2216,735,152,208,85,131,25,190,32,191,104,98,121,147,1453,31,0,1,23,7254,134,110,3349
지능범죄,직무유기,15,8,0,72,0,1,1,0,2,3,2,5,542,1,5,0,1,0,0,0,2,21,4,6,0,11,0,3,6,0,1,0,1,244
지능범죄,직권남용,14,16,0,113,0,0,4,0,5,3,2,14,426,0,0,0,2,0,4,0,0,14,4,9,2,6,0,0,8,0,2,0,0,227
지능범죄,증수뢰,3,3,0,17,0,1,0,0,1,2,3,18,103,0,2,0,0,0,0,4,4,8,0,3,0,1,0,2,0,0,3,0,0,224
지능범죄,통화,2,4,0,14,0,1,18,0,19,9,2,17,16,0,0,0,0,0,11,0,0,1,205,0,1,0,0,0,0,0,0,0,0,56
지능범죄,문서_인장,206,256,15,697,2,10,125,5,248,67,35,145,3829,17,26,4,12,1,4,2,4,25,125,63,19,23,157,2,1,0,52,0,14,4281
지능범죄,유가증권인지,0,0,0,1,0,2,3,1,1,1,2,0,17,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,28
지능범죄,사기,10071,12618,939,44667,115,354,2389,67,4370,1232,1153,11025,28142,884,1305,92,438,59,1329,156,176,233,1771,1516,153,271,33,45,12,13,1326,6,316,166799
지능범죄,횡령,2016,744,102,20347,228,658,1013,180,1516,555,197,1020,3926,229,166,69,1569,788,2437,90,972,117,528,313,42,135,22,1,3,4,952,900,144,8438
지능범죄,배임,141,46,1,151,7,3,5,4,39,20,7,35,1543,36,22,1,0,0,0,4,8,15,43,17,12,7,1,0,0,1,5,0,1,1291
풍속범죄,성풍속범죄,2316,1486,0,2132,36,45,114,15,186,130,611,206,383,4,1,1,492,414,373,10,196,168,2,41,4,24,0,7,0,0,42,822,150,6558
풍속범죄,도박범죄,289,626,0,71,0,7,3,1,156,57,50,320,1613,15,1,31,1,0,2,11,9,0,4,0,1,15,4,7,0,0,3,0,108,2986
특별경제범죄,특별경제범죄,1278,874,28,4104,50,373,1381,58,2187,686,604,4825,5978,517,355,25,191,17,381,38,57,80,650,564,50,112,10,2,0,5,187,4,91,14946
마약범죄,마약범죄,963,1430,7,1719,0,1,17,0,98,30,934,148,152,67,2,6,55,1,127,1,17,7,52,311,3,278,0,0,1,0,90,26,5,1540
보건범죄,보건범죄,1426,874,5,919,1,59,52,1,780,454,164,5865,841,384,3,4,9,0,7,29,49,7,7,964,59,85,2,0,1,2,15,0,41,3827
환경범죄,환경범죄,12,19,3,599,1,1,0,0,43,5,5,2,168,832,262,24,6,1,18,13,5,2,0,7,1,228,170,0,0,13,9,0,0,1207
교통범죄,교통범죄,105,38,5327,300530,1,1,4,0,36,79,7,14,74,9,21,3,7,0,63,4,9,4,1,3,3,56,132,1,0,1,769,0,0,1332
노동범죄,노동범죄,3,5,0,21,0,0,1,0,1,4,10,44,134,19,7,0,0,1,1,0,0,4,0,3,0,3,4,0,0,0,0,0,0,141
안보범죄,안보범죄,2,6,0,32,0,0,1,0,0,0,3,4,49,2,0,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,1,99
선거범죄,선거범죄,6,6,0,101,0,0,0,0,3,0,0,7,54,0,0,0,1,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,90
병역범죄,병역범죄,128,244,1,76,0,0,0,0,1,0,5,0,248,5,0,0,3,1,1,0,6,10,0,4,0,1,0,76,0,0,0,0,0,1013
기타범죄,기타범죄,23270,16456,1225,44243,77,588,1871,67,2620,1336,2766,11028,20274,1742,1067,338,3218,173,1743,259,737,1759,209,1826,510,2782,15713,125,33,72,1791,172,943,82049
